Timestamp,Mean_ACC_X,Std_ACC_X,Min_ACC_X,Max_ACC_X,Range_ACC_X,Median_ACC_X,Skewness_ACC_X,Kurtosis_ACC_X,Energy_ACC_X,Entropy_ACC_X,Mean_ACC_Y,Std_ACC_Y,Min_ACC_Y,Max_ACC_Y,Range_ACC_Y,Median_ACC_Y,Skewness_ACC_Y,Kurtosis_ACC_Y,Energy_ACC_Y,Entropy_ACC_Y,Mean_ACC_Z,Std_ACC_Z,Min_ACC_Z,Max_ACC_Z,Range_ACC_Z,Median_ACC_Z,Skewness_ACC_Z,Kurtosis_ACC_Z,Energy_ACC_Z,Entropy_ACC_Z,Activity
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",241.64,0.5029207620781762,241.0,243.0,2.0,242.0,-0.34771128899750126,-1.3031009744799227,5839014.0,6.643853095603106,241.64,0.5029207620781762,241.0,243.0,2.0,242.0,-0.34771128899750126,-1.3031009744799227,5839014.0,6.643853095603106,241.64,0.5029207620781762,241.0,243.0,2.0,242.0,-0.34771128899750126,-1.3031009744799227,5839014.0,6.643853095603106,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",207.36,0.5029207620781762,206.0,208.0,2.0,207.0,0.34771128899750126,-1.3031009744799227,4299842.0,6.643851990155073,207.36,0.5029207620781762,206.0,208.0,2.0,207.0,0.34771128899750126,-1.3031009744799227,4299842.0,6.643851990155073,207.36,0.5029207620781762,206.0,208.0,2.0,207.0,0.34771128899750126,-1.3031009744799227,4299842.0,6.643851990155073,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2030.44,8.308836722235402,2011.0,2047.0,36.0,2030.5,-0.17214507002353968,-0.5646107447556643,412275494.0,6.643844228356328,2030.44,8.308836722235402,2011.0,2047.0,36.0,2030.5,-0.17214507002353968,-0.5646107447556643,412275494.0,6.643844228356328,2030.44,8.308836722235402,2011.0,2047.0,36.0,2030.5,-0.17214507002353968,-0.5646107447556643,412275494.0,6.643844228356328,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",85.98,20.75688032455939,44.0,136.0,92.0,85.0,0.38326858144854004,-0.5401310467849045,781910.0,6.602582682985817,85.98,20.75688032455939,44.0,136.0,92.0,85.0,0.38326858144854004,-0.5401310467849045,781910.0,6.602582682985817,85.98,20.75688032455939,44.0,136.0,92.0,85.0,0.38326858144854004,-0.5401310467849045,781910.0,6.602582682985817,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-192.88,38.370148329505874,-256.0,48.0,304.0,-191.5,2.2854654577830336,14.453303076906248,3866024.0,6.625704509212923,-192.88,38.370148329505874,-256.0,48.0,304.0,-191.5,2.2854654577830336,14.453303076906248,3866024.0,6.625704509212923,-192.88,38.370148329505874,-256.0,48.0,304.0,-191.5,2.2854654577830336,14.453303076906248,3866024.0,6.625704509212923,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-3.99,22.890382171549604,-46.0,40.0,86.0,-3.0,-0.00465192660102827,-0.6674608454127955,53465.0,11.078665752495715,-3.99,22.890382171549604,-46.0,40.0,86.0,-3.0,-0.00465192660102827,-0.6674608454127955,53465.0,11.078665752495715,-3.99,22.890382171549604,-46.0,40.0,86.0,-3.0,-0.00465192660102827,-0.6674608454127955,53465.0,11.078665752495715,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.53,11.669224827759901,-20.0,24.0,44.0,0.0,0.03335029080289694,-1.004746734634422,13509.0,18.882505517714108,0.53,11.669224827759901,-20.0,24.0,44.0,0.0,0.03335029080289694,-1.004746734634422,13509.0,18.882505517714108,0.53,11.669224827759901,-20.0,24.0,44.0,0.0,0.03335029080289694,-1.004746734634422,13509.0,18.882505517714108,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",0.27,25.067526983946973,-38.0,41.0,79.0,3.5,0.00878594810864629,-1.5351315361513287,62217.0,3.09043748357516,0.27,25.067526983946973,-38.0,41.0,79.0,3.5,0.00878594810864629,-1.5351315361513287,62217.0,3.09043748357516,0.27,25.067526983946973,-38.0,41.0,79.0,3.5,0.00878594810864629,-1.5351315361513287,62217.0,3.09043748357516,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",-83.97789999999999,0.6816146827626123,-87.26,-82.53,4.730000000000004,-84.005,-0.7117288013280159,4.354258702121301,705274.7641,6.643809228465212,-83.97789999999999,0.6816146827626123,-87.26,-82.53,4.730000000000004,-84.005,-0.7117288013280159,4.354258702121301,705274.7641,6.643809228465212,-83.97789999999999,0.6816146827626123,-87.26,-82.53,4.730000000000004,-84.005,-0.7117288013280159,4.354258702121301,705274.7641,6.643809228465212,"0    1
Name: ACTIVITY_CODE, dtype: int32"
"0    16:26.6
1    16:27.1
2    16:34.4
3    16:35.8
4    16:39.3
5    16:39.8
Name: TIMESTAMP, dtype: object",2.4144,0.5854900735816332,1.23,3.81,2.58,2.39,0.38464603149795074,-0.5392856373884904,616.8697999999999,6.6022127964182875,2.4144,0.5854900735816332,1.23,3.81,2.58,2.39,0.38464603149795074,-0.5392856373884904,616.8697999999999,6.6022127964182875,2.4144,0.5854900735816332,1.23,3.81,2.58,2.39,0.38464603149795074,-0.5392856373884904,616.8697999999999,6.6022127964182875,"0    1
Name: ACTIVITY_CODE, dtype: int32"
